Dritte_Zwischenzeit,Griechisch-römische_Zeit_clean,Mittleres_Reich_clean,Neues_Reich_clean,Spätzeit_clean,Zweite_Zwischenzeit_clean
amun,pharao,anrüchig,lhg,pharao,daraufhin
amunrasonther,setne,landmann,schaft,teudjoi,ubainer
machtserscheinung,amun,ba,einst,merire,landmann
gegründet,bzw,deinetwegen,bata,lhg,kartuschenebkakartusche
auge,isis,bevor,tanne,peteese,einfache
libanon,pami,insel,pharao,amun,indemweil
smendes,naneferkaptah,jenseits,götterneunheit,priester,gerechtfertigt
götterbarke,osiris,indemweil,ba,senti,vorlesepriester
gesundheit,priester,anlegestelle,namen,irturu,norm
abscheu,ostens,handelt,gesamten,general,normalerweise
persönlichen,inaros,gestank,anlanden,horudja,oberdomänenvorsteher
tamounis,anchhor,norm,all,chons,hausmeister
weges,siosire,oberdomänenvorsteher,euren,schiffsmeister,einfachen
schrecken,imen,normalerweise,nahrung,lebendigen,wachs
betrifft,niut,neidisch,jeden,ahmose,milde
